Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
305324;6,00479E+13;A.M.S. ASSESSORIA MÉDICO SOCIAL S/C LTDA;A.M.S. ASSESS.MEDICO;Medicina de Grupo;R. TANABI;50;;PERDIZES;São Paulo;SP;5002010;11;38722632;38722632;;JOSÉ EDUARDO DE ALMEIDA NIGRO;SÓCIO;;05/01/1999
416258;6,06619E+12;A.N.E. PLANOS ODONTOLÓGICOS LTDA ME;SORRISO CONVÊNIO ODONTOLÓGICO;Odontologia de Grupo;RUA AQUIDABAN;1269;;CENTRO;São Carlos;SP;13560120;16;34135136;;sorriso@conveniosorriso.com.br;ANTONIO DE ALMEIDA SILVA NETO;SOCIO GERENTE;5;19/07/2007
406708;5,39806E+11;A.P.S ASSISTÊNCIA PERSONALIZADA À SAÚDE LTDA;APS;Medicina de Grupo;RUA VINTE E TRÊS DE MAIO;790;MEZANINO;VIANELO;Jundiaí;SP;13207070;21;38054491;38051088;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;5;29/07/1999
421600;3,12076E+13;A4 ADMINISTRADORA DE BENEFICIOS LTDA;A4 ADMINISTRADORA DE BENEFICIOS ;Administradora de Benefícios;Rua do Rosário;1;Sala 401;CENTRO;Rio de Janeiro;RJ;20041003;21;35531692;;juridico@qvsaude.com.br;SERGIO SOUTELINHO DE AMORIM;ADMINISTRADOR;4;29/04/2019
346616;9,45825E+11;ABADO KASSAB S/C LTDA.;ODONTOSHER;Odontologia de Grupo;RUA DOS ANDRADAS;868;SALA 02;CENTRO;Itu;SP;13300170;11;40244242;40221800;odontosher@uol.com.br;PAULA KASSAB SILVA;SÓCIO GERENTE;5;15/01/1999
417734;7,52525E+12;ABBESS - ASSOCIAÇÃO BRASILEIRA DE BENEFICIOS E SEGURIDADE SOCIAL;;Administradora de Benefícios;AV RIO BRANCO;120;PAVIMENTO 4 - SALA 426;CENTRO;Rio de Janeiro;RJ;20040001;21;22704971;;comercial@abbess.com.br;MARCELO BRANDÃO ROCHA;PRESIDENTE E TESOUREIRO;6;20/12/2010
417408;2,70137E+12;ABC ASSISTENCIAL LTDA.;ABC ASSISTENCIAL;Administradora de Benefícios;RUA FERNANDO DE CAMARGO;895;11º ANDAR CJ. 113;CENTRO;Americana;SP;13465020;19;21094600;21094600;RAUL@ABCASSISTENCIAL.COM.BR;ANTONIO BENEDITO CABRAL;DIRETOR;2;16/07/2010
348694;4,40439E+13;ABC CLÍNICAS S/C LTDA.;;Medicina de Grupo;AV. ALFREDO MALUF;409;;JARDIM SANTO ANTÔNIO;Santo André;SP;9240410;11;49966648;49973146;;JAMIR PEREIRA DAS NEVES;SÓCIO;;29/01/1999
345440;1,16477E+12;ABEFI - ASSOCIAÇAO BENEFICENTE EVANGÉLICA DE FOZ DO IGUAÇU;ABEFI;Medicina de Grupo;RUA EDMUNDO DE BARROS;830;;M'BOICY;Foz do Iguaçu;PR;85851120;45;5233781;5233781;abefi@fnn.net;;;;30/12/1998
403342;1,05788E+12;ABIAMT ASSOC.BENEF.INTERN.DE ASSIST.MED.AOS TRAB;ABIAMT;Medicina de Grupo;AV. ANTÔNIO MARQUES FIGUEIRA;365;;CENTRO;Suzano;SP;9041410;11;61638939;61638939;;ANA MARIA BATISTA;;;08/04/1999
306347;6,35013E+13;ABS-ASSISTÊNCIA BUCAL SERVIÇOS S/C LTDA.;ABS ASSISTÊNCIA BUCAL SERVIÇOS;Odontologia de Grupo;RUA LEONARDO MOTA;1755;;ALDEOTA;Fortaleza;CE;60170040;0;833048500;833048519;emanuel@absonline.com.br;EMANUEL PASSOS CHAVES;DIRETOR ADMINISTRATIVO;5;22/12/1998
348961;1,8239E+13;ACESITA ENERGÉTICA LTDA.;FLORASA;Autogestão;AV. JOAO PINHEIRO;580;;CENTRO;Belo Horizonte;MG;30130180;31;2354200;2737218;acesicom@gtc.africanet.com.br;RUBENS TEODORO DA COSTA;DIRETOR PRESIDENTE;;29/12/1998
316814;3,33902E+13;ACESITA S.A.;ACESITA;Autogestão;AV. JOAO PINHEIRO;580;;CENTRO;Belo Horizonte;MG;30130180;31;2354200;2737218;acesicom@gtc.africanet.com.br;LUIZ ANIBAL DE LIMA FERNANDES;PRESIDENTE;;28/12/1998
379816;6,05001E+13;ACESITA SERVIÇOS, COMÉRCIO .IND. E PARTICIPAÇOES LTDA;CELFI;Autogestão;AV. MÉXICO;S/N;;CRUZEIRINHO;Timóteo;MG;35180000;31;8497179;8491302;;JEAN ANDRÉ AIMÉ GILET;DIRETOR PRESIDENTE;;30/12/1998
326372;4,38372E+13;ACHESON DO BRASIL INDUSTRIA E COM. LTDA.;;Autogestão;R. HOWARD A  ACHESON JR;279;;JARDIM DA GLÓRIA;Cotia;SP;6711280;11;46124000;4925433;imperio@imperiosaude.com.br;DALVA APARECIDA IMPÉRIO;ASSESSORIA;;19/01/1999
408417;3,39468E+12;ACMED ASSISTÊNCIA MÉDICA LTDA;ACMED;Medicina de Grupo;RUA ASSIS BRASIL;4035;;SARANDI;Porto Alegre;RS;44030710;71;3799512;3799512;;SERGIO ALVES DE FREITAS;SÓCIO GERENTE;;26/09/1999
400386;1,89295E+12;ADCON - ADMINISTRADORA DE CONVENIOS ODONTOLÓGICOS LTDA;ODONTO SERV;Odontologia de Grupo;AV. ANTÔNIO CARLOS MAGALHÃES;3840;LOJA J - EDIFÍCIO CAPEMI;PITUBA;Salvador;BA;41820000;11;21686870;21812211;rcury@odontoprev.com.br;ROBERTO SEME CURY;REPRESENTANTE LEGAL;5;11/02/1999
420671;2,61349E+13;ADDERE ADMINISTRADORA DE BENEFÍCIOS EIRELI;ADDERE ADMINISTRADORA DE BENEFÍCIOS;Administradora de Benefícios;AV. DAS ARAUCÁRIAS;LOTE 1835;1905, 1955 E 2005, 4º PISO, SL 444/445;SUL (ÁGUAS CLARAS) ;Brasília;DF;71936250;61;982537447;;financeiro@addereadm.com;JULIANA DOS SANTOS GONTIJO;Sócia Administradora;4;13/12/2016
413640;8,53265E+13;ADDMAKLER ADMINISTRADORA E CORRETORA DE SEGUROS LTDA;ADDMAKLER SEGUROS;Medicina de Grupo;Rua Ingo Hering;20;6o. andar;CENTRO;Blumenau;SC;89010205;47;2217000;2217070;edson@addmakler.com.br;ARI LEANDRO GONÇALVES;DIRETOR;;19/04/2001
409723;3,57926E+13;ADEFOMM - ASSOC. EX-ALUNOS ESCOLAS DE FORM DE OFICIAIS DA MARINHA  ;CLÍNICA GERAL ADEFOMM;Autogestão;RUA SÃO FRANCISCO XAVIER;453;A;MARACANÃ;Rio de Janeiro;RJ;20550010;21;99950183;4421960;;LUTEGAR DOS SANTOS PEREIRA;DIRETOR PRESIDENTE;;11/11/1999
37603;6,735E+11;ADLER PTI LTDA;;Autogestão;AV. PINHEIROS;1070;;RETIRO DO JATOBÁ;Ibirité;MG;32400000;31;3823832;3810322;;HELENA APARECIDA DOS SANTOS;X;;30/12/1998
417556;9,03528E+12;ADM ADMINISTRADORA DE BENEFÍCIOS LTDA;;Administradora de Benefícios;Avenida Tamboré;267;Conjunto 201B, Torre Norte, 20º andar, p;Alohaville;Barueri;SP;6460000;11;47005033;34911102;br.juridico@aon.com.br;LEONARDO CARNEIRO MARTINS COELHO;DIRETOR ADJUNTO COMERCIAL;1;21/09/2010
314641;1,78538E+12;ADM DE PLANOS DE ASSIST. ODONTOLOGICA PRODENT LTDA;PRODENT;Odontologia de Grupo;AV. 7 DE SETEMBRO;400;ED FUND POLITECNICA BL A - SALA 98;CENTRO;Salvador;BA;40006001;71;32431077;3214044;;MARCOS ANTONIO SOARES;SÓCIO;;29/12/1998
318493;1,03584E+12;ADMED ASS. E ADM. NA AREA DE SAUDE;ADMED ASSESSORIA E ADMINISTRAÇAO;Medicina de Grupo;AV. 1.º DE MARÇO ;279;;GUANABARA;Campinas;SP;13010010;71;33519379;;admedsaude@gmail.com;JORGE LUIS ZANETTI PEREIRA;;;30/12/1998
419036;8,54331E+12;ADMISA ASSISTENCIA ODONTOLOGICA LTDA;;Odontologia de Grupo;RUA DOUTOR QUIRINO;734;3º ANDAR - SALA 34;CENTRO;Campinas;SP;13015081;19;31122900;;WALTER@ASSIMEDICA.COM.BR;WALTER ROSA FILHO;SóCIO-ADMINISTRADOR;6;11/09/2013
418471;8,54331E+12;ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA;ADMISA ASSISTÊNCIA ODONTOLÓGICA LTDA;Odontologia de Grupo;RUA DOUTOR QUIRINO;734;;CENTRO;Campinas;SP;13015081;19;31122900;31122900;WALTER@ASSIMEDICA.COM.BR;WALTER ROSA FILHO;ADMINISTRADOR;;26/03/2012
419117;1,76466E+13;ADMPLAN ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA DOUTOR BORMAN;6;SL 603  ED MONTE CARLO;CENTRO;Niterói;RJ;24020030;21;26212535;;LEONARDO@UNIMEDICASAUDE.COM;RENATO DA SILVA SOTÃO;ADMINISTRADOR;;03/10/2013
416312;5,96104E+12;ADMSAÚDE SERVIÇOS DE SAÚDE LTDA;;Administradora;RUA LIBERO BADARÓ;152;21.º ANDAR;CENTRO;São Paulo;SP;1008000;11;31031633;310311633;financeiro@admsaude.com.br;RICARDO JESUS DE QUEIROZ;DIRETOR ADMINISTRATIVO;;20/08/2007
377252;4,76808E+13;ADP BRASIL LTDA;ADP SYSTEMS;Autogestão;RUA JOÃO TIBIRIÇA;1112;PRÉDIO 2;VI ANASTÁCIO;São Paulo;SP;5077000;11;36469642;32112120;elalmeida@adp.com.br;CESAR EMILIO DIAS MARINHO;DIETOR GERAL;;30/12/1998
419168;1,72736E+13;ADPART M2 ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL;;Medicina de Grupo;RUA DONA ANITA MAYER;139;;BOTAFOGO;Campinas;SP;13020350;19;21029700;;gustavo@coopus.com.br;FABIANO FABRI BAYARRI;LIQUIDANTE EXTRAJUDICIAL;5;22/10/2013
35887;1,9234E+12;ADPLAM ASSISTENCIA MÉDICA LTDA.;;Medicina de Grupo;RUA LEANDRO MARTINS;20;SALA 1203;CENTRO;Rio de Janeiro;RJ;20080070;21;5160104;2334602;;JOSÉ RICARDO DE ALMEIDA SERRA.;X;;05/01/1999
417190;3,50612E+12;ADPLAN ADMINISTRAÇÃO E PLANEJAMENTO DE BENEFÍCIOS LTDA;ADPLAN ADMINISTRAÇÃO DE PLANOS DE SAÚDE;Administradora de Benefícios;RUA BUENOS AIRES;23;4º ANDAR;CENTRO;Rio de Janeiro;RJ;20070020;21;25160273;25160273;ADPLANPAR@ADPLANPAR.COM.BR;PAULO SERGIO BRAZILIANO PESSOA DOS SANTOS;REPRESENTANTE;;09/04/2010
6807;3,01105E+13;ADRESS SEGUROS E PREVIDENCIA S/A;;Seguradora;RUA MORAES E VALLE;111;;CENTRO;Rio de Janeiro;RJ;20011040;21;5098181;;;;;;16/12/1998
410161;3,5088E+12;ADRESS SÃO PAULO ASSISTENCIA MEDICA S/C LTDA;;Medicina de Grupo;RUA SETE ABRIL ;277;14.ª ANDAR;REPÚBLICA;São Paulo;SP;1003000;11;31014971;38852000;www.evolucaosaude.com;JOSUE MOREIRA TEIXEIRA;GERENTE-DELEGADO;;10/12/1999
414565;2,44897E+12;ADS -A ARTE DO DENTE SAUDAVEL S/C LTDA;ADS- ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;RUA DO OUVIDOR;130;1ª SOBRELOJA 209;CENTRO;Rio de Janeiro;RJ;20030040;21;22212512;25243030;andersontvalente@click21.com.br;PAULO HENRIQUE DA SILVA BARROS;ADMINISTRADOR;6;08/04/2003
400394;2,55303E+12;ADSEG ADMINISTRACAO DE PLANOS DE SAÚDE LTDA;ADSEG-MED;Medicina de Grupo;AV. DANTAS BARRETO;507;CONJ. 501;SANTO ANTONIO;Recife;PE;50010360;81;34247777;4247777;pontesa@elogica.com.br;SANDRA REJANE DE NOVAES PIRES SANTOS;SOCIO-GERENTE;;11/02/1999
405779;2,76531E+12;ADVANCE SAÚDE LTDA;LÍDER SAUDE;Medicina de Grupo;RUA DESEMBARG. TOMAZ ANTÔNIO GUIMARÃES;36;;CASA CAIADA;Olinda;PE;53130580;81;34945649;;;FLÁVIO LOPES BARBOSA;SÓCIO;;01/07/1999
402451;9,64746E+13;ADVESP ASSOC DOS DEFICIENTES VISUAIS DO EST DE SP;;Autogestão;RUA SÃO BENTO;545;TERREO SUP - S 14 E 8;CENTRO;São Paulo;SP;1011100;11;31066137;;;AGENOR DOMINGUES VIEIRA;;;24/03/1999
411451;3,81556E+12;ADW SERVIÇOS DE SAUDE S/C LTDA;;Medicina de Grupo;RUA ALEXANDRE MARQUEZ;854;;MARTINS;Uberlândia;MG;38400446;34;2358532;2350970;devanir@triang.com.br;WILSON PEREIRA;SÓCIO - GERENTE;;08/06/2000
416452;8,85404E+12;AFINIDADE ADMINISTRADORA DE BENEFÍCIOS LTDA.;AFINIDADE;Administradora de Benefícios;SCN QUADRA 5 BLOCO A;50;SALA 817 - PARTE B;BRASILIA SHOPPING;Brasília;DF;70310500;61;21056000;;;ELCIO ELERSON MORAES;PRESIDENTE;6;28/11/2007
403598;3,95487E+11;AFONSO & VALLE S/C LTDA;DENTAL SHARING ASSISTÊNCIA ODONTOLÓGICA;Odontologia de Grupo;RUA FERNANDO SIMAS;334;;BIGORRILHO;Curitiba;PR;80430190;41;33233933;33233933;scharing@b.com.br;PAULO AFONSO CUNALI;SÓCIA;;19/04/1999
406988;3,23528E+12;AFRO-MED ASSISTENCIA MEDICA SC LTDA;AFRO-MED;Medicina de Grupo;RUA VASCO DA GAMA;37;3ºANDAR CONJ.31;BRAS;São Paulo;SP;3003050;11;65461881;65477661;eliasapp@ibest.com.br;EMMANUEL ODUNAYO TOYIN OLUWATUYI;DIRETOR;;06/08/1999
410918;2,84273E+12;AFUSIP - ASSOC. DOS FUNCIONÁRIOS DO SIST. PENITENCIÁRIO DE CAMPINAS E REGIÃO;AUGE-SAÚDE;Autogestão;RODOVIA CAMPINAS MONTE MOR;km 4,5;;NOVA BOA VISTA;Campinas;SP;13064180;19;2338348;2377192;zanetti@aquarium.com.br;VALDOMIRO FRANCISCO DE OLIVEIRA;PRESIDENTE;;24/03/2000
351288;6,06192E+13;AGA   S A;AGA   S A;Autogestão;RUA DA PASSAGEM;123;3º,6º E 7º ANDARES;BOTAFOGO;Rio de Janeiro;RJ;22290030;21;5431262;5431893;paulo.pulitini@aga.se;PAULO CESAR PULITINI CAMPOS;;;22/12/1998
339601;2,93322E+12;AGEMED SAÚDE LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL;AGEMED;Medicina de Grupo;RUA DR. PLÁCIDO OLÍMPIO DE OLIVEIRA;693;;BUCAREIN;Joinville;SC;89202450;47;34614454;474614445;contabilidade@agemed.com.br;MARINA RAMOS;Liquidante Extrajudicial;6;19/01/1999
5177;6,15738E+13;AGF BRASIL SEGUROS S.A.;;Seguradora;RUA LUIS COELHO;26;;CERQUEIRA CÉSAR;São Paulo;SP;1309900;11;31716687;31716506;fsalencar@agf.com.br;REGINALDO PEREIRA NAKAO;DIRETOR EXECUTIVO;;16/12/1998
423360;4,6514E+13;AGUERO PLANO ODONTOLOGICO LTDA;ODONTO MAIS;Odontologia de Grupo;AV BRASIL;860;SALA B;NOVA BRASÍLIA;Ji-Paraná;RO;76908354;62;98482738;;joaopaulodecastroeaguero@gmail.com;JOÃO PAULO DE CASTRO E AGUERO;ADMNISTRADOR;;10/10/2022
363782;1,7343E+12;AHOL - ATENDIMENTO HOSPITALAR E ODONTOLÓGICO LTDA.;ATENDEMED;Medicina de Grupo;RUA ÁLVARO MENDES;2280;;CENTRO;Teresina;PI;64000060;86;31227000;31227001;atendemed@atendemed.com.br;ADEMAR FARIAS;ADMINISTRADOR;5;01/02/1999
6734;4,21513E+13;AIG BRASIL COMPANHIA DE SEGUROS;;Seguradora;AV. EUSEBIO MATOSO;1375;4º ANDAR;BUTANTÃ;São Paulo;SP;5423180;11;30392866;30394542;miriam.assis@aig.com;NEY FERRAZ DIAS;DIRETOR;;16/12/1998
6297;1,95545E+12;AIG LIFE COMPANHIA DE SEGUROS;;Seguradora;AV EUSÉBIO MATOSO;1375;;BUTANTÃ;São Paulo;SP;5423180;11;30392866;30394542;miriam.assis@aig.com;NEY FERRAZ DIAS;DIRETOR;;16/12/1998
314013;4,21049E+13;AIS - ASSOCIAÇÃO PARA INVESTIMENTO SOCIAL;GOLDEN CROSS;Medicina de Grupo;RUA PROFESSORA VENINA CORREIA TORRES;230;SALAS 301/310;CENTRO;Nova Iguaçu;RJ;26220100;21;2971;7677989;comunica@goldencross.com.br;JOÃO CARLOS GONÇALVES REGADO;DIRETOR PRESIDENTE;;06/01/1999
415324;6,29201E+12;AITE GESTÃO EM SAÚDE LTDA.;AITE;Administradora;RUA PADRE GUILHERME POMPEU;1;;CENTRO;Santana de Parnaíba;SP;6501055;11;32248272;;;GILBERTO MIYAMOTO;PRESIDENTE;;21/10/2005
415481;4,14798E+12;ALANGARDES FERREIRA MOREIRA E CIA. LTDA.;NEO ODONTO CLINICAS INTEGRADAS;Odontologia de Grupo;RUA 07 DE SETEMBRO;555;LOTE 05-A QD. 14;ARAGUÍNA;Araguaína;TO;77804040;63;4153591;;NEOODONTO@UOL.COM.BR;ALANGARDES FERREIRA MOREIRA;ADMINISTRADOR E RESPONSAVEL;;29/03/2006
402419;1,46885E+13;ALBA - SERVIÇOS E PLANOS DE SAÚDE LTDA;ALBA;Medicina de Grupo;RUA CHILE;23;SALA 701/702;CENTRO;Salvador;BA;40020000;71;2.427.138;2.427.138;albasaude@uol.com.br;JOSE CARLOS FARO GOMEZ;SOCIO GERENTE;6;22/03/1999
35577;7,36642E+13;ALBERT SABIN ASSISTENCIA MÉDICA LTDA.;SABIN SAÚDE;Medicina de Grupo;RUA PROFESSOR MIGUEL COUTO;475;;SANTA ROSA;Niterói;RJ;24230240;21;6101001;6100825;;LUIZ BENEDITO DOS SANTOS FREITAS JÚNIOR;;;28/12/1998
418684;3,64028E+13;ALBUQUERQUE ADMINISTRAÇÃO DE BENEFICIOS S/C LTDA.;;Administradora de Benefícios;RUA NICANOR SANTOS;61;FUNDOS;CENTRO;Jerônimo Monteiro;ES;29550000;21;35531692;;LEONARDO@CHEVITARESE.COM.BR;JONAS VICENTE DE ALBUQUERQUE;ADMINISTRADOR;6;10/12/2012
33947;2,36377E+13;ALCOA ALUMINIO S/A;ALCOA ALUMÍNIO S/A;Autogestão;RUA FELIPE CAMARAO;454;;UTINGA;Santo André;SP;9220580;11;76048150;76048400;mediservice@mediservice.com.br;;;;28/12/1998
30999;2,36377E+13;ALCOA ALUMINIO S/A.;ALCOA;Autogestão;RODOVIA PE;35;KM 3;DISTRITO INDUSTRIAL;Itapissuma;PE;53600000;81;5436600;5436662;lima06@ssw.alcoa.com;;;;31/12/1998
407861;6,87899E+13;ALES - APOIO LOGISTICO EQUIPAMENTOS E SERVIÇOS LTDA;ALES - ASSISTÊNCIA ODONTOLÓGICA;Odontologia de Grupo;RUA VISCONDE DE PIRAJÁ;595;503;IPANEMA;Rio de Janeiro;RJ;22410003;21;25409085;25409866;alesdentall@iveloz.com.br;MARIA HELENA MIRANDA RODRIGUES DE CARVALHO;GERENTE;3;06/09/1999
405418;4,19816E+13;ALFA SISTEMA FACILITE SAUDE LTDA;ALFA SISTEMA FACILITE SAUDE LTDA;Administradora;RUA CONSELHEIRO MOURA;16-A;;CENTRO;Alagoinhas;BA;48010030;75;4211030;4211030;CONSULTARE.SSA@TERRA.COM.BR;JOSE RAIMUNDO DIAS DE LIMA;SOCIO;;25/06/1999
404381;3,09506E+12;ALFAMED ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;ALFAMED;Medicina de Grupo;RUA FRANZ LISTZ;440;SALA 305;JARDIM AMÉRICA;Rio de Janeiro;RJ;21240400;21;26717474;26717474;alfamed@alfamed;HELIO DE OLIVEIRA DOS SANTOS JUNIOR;SOCIO ADMINISTRADOR;3;19/05/1999
400939;2,19554E+12;ALFHA SERVICE LTDA;ALPHAMED SISTEMA DE SAUDE;Medicina de Grupo;VEADOR PORTO;262;;SANTANA;Porto Alegre;RS;90610200;51;32506239;;alphamed@zaz.com.br;ALFEU JOSE BARBOSA JUNIOR;DIRETOR ADMINISTRATIVO;;23/02/1999
416771;8,40758E+12;ALIANÇA ADMINISTRADORA DE BENEFÍCIOS DE SAUDE S.A.;ALIANÇA ADMINISTRADORA;Administradora de Benefícios;RUA DR. JOAO TEIXEIRA;522;1º ANDAR / SALA 04;CENTRO;Luziânia;GO;72800440;11;31914081;;juridico_regulatorio_5@qualicorp.com.br;EDUARDO RIBEIRO FARIA DE OLIVEIRA;REPRESENTANTE;1;07/11/2008
403989;1,6474E+12;ALL DENT CONVÊNIOS ODONTOLÓGICOS LTDA.;ALL DENT;Odontologia de Grupo;RUA PREF FREDERICO BUSCH JR.;85;1º ANDAR;GARCIA;Blumenau;SC;89020400;47;3220603;3262408;all.dent@ig.com.br;LUCIANO ANTONIO MULLER;SOCIO GERENTE;;28/04/1999
422177;3,59334E+13;ALLDEN ASSISTÊNCIA ODONTOLÓGICA LTDA;ALLDEN SAÚDE;Odontologia de Grupo;RUA 09 NORTE LOTE 05 E RUA DAS PITANGUE;LOTE 6;LOJAS 11/12 PARTE 55  EDIFÍCIO EASY ;AGUAS CLARAS;Brasília;DF;71908540;61;37729707;;geander.santos@alldensaude.com.br;SERGIO ROMERO SILVA;REPRESENTANTE LEGAL;4;12/03/2020
416533;8,69665E+12;ALLPREV - ASSISTÊNCIA ODONTOLÓGICA LTDA;ALLPREV;Odontologia de Grupo;RUA DOUTOR MARCOLINO;608;;CENTRO;Patos de Minas;MG;38700160;34;38225007;38225007;ALLPREV@ALLPREV.COM.BR;GERVÁSIO MOREIRA DA SILVA;SÓCIO ADMINISTRADOR;5;30/01/2008
417807;1,25843E+13;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;ALPER ADMINISTRADORA DE BENEFICIOS LTDA;Administradora de Benefícios;RUA GILBERTO SABINO;215;13º ANDAR;PINHEIROS;São Paulo;SP;5425020;11;31752900;;contabilidade@alperseguros.com.br; GUILHERME SILVEIRA BARROZO NETTO;DIRETOR FINANCEIRO;1;24/01/2011
313581;8,83096E+13;ALSTOM ELEC S.A.;ALSTOM;Autogestão;Av.Guilherme Schell;11500;;CENTRO;Canoas;RS;92420000;51;4778638;4773477;holos@holos-saude.com.br;GLADIS PAIXÃO;REPRESENTANTE ANS;;31/12/1998
413381;3,79423E+12;ALVA CLINICA ODONTOLÓGICA LTDA;ALVA ODONTOMÉDICA;Odontologia de Grupo;Alvarenga Peixoto;1440;;SANTO AGOSTINHO;Belo Horizonte;MG;30180121;31;33353344;33353344;clinicaalva@bol.com.br;GEOVANE MAURILIO DA SILVA;ADMINISTRADOR;;21/03/2001
414671;9,40931E+13;AMA - ASSISTÊNCIA MÉDICA ADMINISTRADA S/S LTDA.;AMA;Administradora;RUA GOMES JARDIM;472;;SANTANA;Porto Alegre;RS;90620130;51;32173434;32173434;juridico@amars.com.br;GUSTAVO LORENZONI SPORLEDER;DIRETOR COMERCIAL;4;10/10/2003
40325;3,01378E+12;AMA - ASSOCIAÇÃO METROPOLITANA ASSISTENCIAL;;Medicina de Grupo;RODOVIA DO CAQUI;1.150;;ARAÇATUBA;Campina Grande do Sul;PR;83430000;41;7692528;;;;;;06/04/1999
389862;9,40931E+13;AMA ASSISTENCIA MÉDICA ADMINISTRADA LTDA.;;Administradora;,;472;;SANTANA;Porto Alegre;RS;90620130;51;2170465;2171402;ama@ez-poa.com.br;FERNANDO ADERBAL CABELERA SPORLEDER;SÓCIO;;30/12/1998
